date,weeknum,weekday
2018/1/2,1,3
2018/1/3,1,4
2018/1/4,1,5
2018/1/5,1,6
2018/1/8,2,2
2018/1/9,2,3
2018/1/10,2,4
2018/1/11,2,5
2018/1/12,2,6
2018/1/16,3,3
2018/1/17,3,4
2018/1/18,3,5
2018/1/19,3,6
2018/1/22,4,2
2018/1/23,4,3
2018/1/24,4,4
2018/1/25,4,5
2018/1/26,4,6
2018/1/29,5,2
2018/1/30,5,3
2018/1/31,5,4
2018/2/1,5,5
2018/2/2,5,6
2018/2/5,6,2
2018/2/6,6,3
2018/2/7,6,4
2018/2/8,6,5
2018/2/9,6,6
2018/2/12,7,2
2018/2/13,7,3
2018/2/14,7,4
2018/2/15,7,5
2018/2/16,7,6
2018/2/20,8,3
2018/2/21,8,4
2018/2/22,8,5
2018/2/23,8,6
2018/2/26,9,2
2018/2/27,9,3
2018/2/28,9,4
2018/3/1,9,5
2018/3/2,9,6
2018/3/5,10,2
2018/3/6,10,3
2018/3/7,10,4
2018/3/8,10,5
2018/3/9,10,6
2018/3/12,11,2
2018/3/13,11,3
2018/3/14,11,4
2018/3/15,11,5
2018/3/16,11,6
2018/3/19,12,2
2018/3/20,12,3
2018/3/21,12,4
2018/3/22,12,5
2018/3/23,12,6
2018/3/26,13,2
2018/3/27,13,3
2018/3/28,13,4
2018/3/29,13,5
2018/4/2,14,2
2018/4/3,14,3
2018/4/4,14,4
2018/4/5,14,5
2018/4/6,14,6
2018/4/9,15,2
2018/4/10,15,3
2018/4/11,15,4
2018/4/12,15,5
2018/4/13,15,6
2018/4/16,16,2
2018/4/17,16,3
2018/4/18,16,4
2018/4/19,16,5
2018/4/20,16,6
2018/4/23,17,2
2018/4/24,17,3
2018/4/25,17,4
2018/4/26,17,5
2018/4/27,17,6
2018/4/30,18,2
2018/5/1,18,3
2018/5/2,18,4
2018/5/3,18,5
2018/5/4,18,6
2018/5/7,19,2
2018/5/8,19,3
2018/5/9,19,4
2018/5/10,19,5
2018/5/11,19,6
2018/5/14,20,2
2018/5/15,20,3
2018/5/16,20,4
2018/5/17,20,5
2018/5/18,20,6
2018/5/21,21,2
2018/5/22,21,3
2018/5/23,21,4
2018/5/24,21,5
2018/5/25,21,6
2018/5/29,22,3
2018/5/30,22,4
2018/5/31,22,5
2018/6/1,22,6
2018/6/4,23,2
2018/6/5,23,3
2018/6/6,23,4
2018/6/7,23,5
2018/6/8,23,6
2018/6/11,24,2
2018/6/12,24,3
2018/6/13,24,4
2018/6/14,24,5
2018/6/15,24,6
2018/6/18,25,2
2018/6/19,25,3
2018/6/20,25,4
2018/6/21,25,5
2018/6/22,25,6
2018/6/25,26,2
2018/6/26,26,3
2018/6/27,26,4
2018/6/28,26,5
2018/6/29,26,6
2018/7/2,27,2
2018/7/3,27,3
2018/7/5,27,5
2018/7/6,27,6
2018/7/9,28,2
2018/7/10,28,3
2018/7/11,28,4
2018/7/12,28,5
2018/7/13,28,6
2018/7/16,29,2
2018/7/17,29,3
2018/7/18,29,4
2018/7/19,29,5
2018/7/20,29,6
2018/7/23,30,2
2018/7/24,30,3
2018/7/25,30,4
2018/7/26,30,5
2018/7/27,30,6
2018/7/30,31,2
2018/7/31,31,3
2018/8/1,31,4
2018/8/2,31,5
2018/8/3,31,6
2018/8/6,32,2
2018/8/7,32,3
2018/8/8,32,4
2018/8/9,32,5
2018/8/10,32,6
2018/8/13,33,2
2018/8/14,33,3
2018/8/15,33,4
2018/8/16,33,5
2018/8/17,33,6
2018/8/20,34,2
2018/8/21,34,3
2018/8/22,34,4
2018/8/23,34,5
2018/8/24,34,6
2018/8/27,35,2
2018/8/28,35,3
2018/8/29,35,4
2018/8/30,35,5
2018/8/31,35,6
2018/9/4,36,3
2018/9/5,36,4
2018/9/6,36,5
2018/9/7,36,6
2018/9/10,37,2
2018/9/11,37,3
2018/9/12,37,4
2018/9/13,37,5
2018/9/14,37,6
2018/9/17,38,2
2018/9/18,38,3
2018/9/19,38,4
2018/9/20,38,5
2018/9/21,38,6
2018/9/24,39,2
2018/9/25,39,3
2018/9/26,39,4
2018/9/27,39,5
2018/9/28,39,6
2018/10/1,40,2
2018/10/2,40,3
2018/10/3,40,4
2018/10/4,40,5
2018/10/5,40,6
2018/10/8,41,2
2018/10/9,41,3
2018/10/10,41,4
2018/10/11,41,5
2018/10/12,41,6
2018/10/15,42,2
2018/10/16,42,3
2018/10/17,42,4
2018/10/18,42,5
2018/10/19,42,6
2018/10/22,43,2
2018/10/23,43,3
2018/10/24,43,4
2018/10/25,43,5
2018/10/26,43,6
2018/10/29,44,2
2018/10/30,44,3
2018/10/31,44,4
2018/11/1,44,5
2018/11/2,44,6
2018/11/5,45,2
2018/11/6,45,3
2018/11/7,45,4
2018/11/8,45,5
2018/11/9,45,6
2018/11/12,46,2
2018/11/13,46,3
2018/11/14,46,4
2018/11/15,46,5
2018/11/16,46,6
2018/11/19,47,2
2018/11/20,47,3
2018/11/21,47,4
2018/11/23,47,6
2018/11/26,48,2
2018/11/27,48,3
2018/11/28,48,4
2018/11/29,48,5
2018/11/30,48,6
2018/12/3,49,2
2018/12/4,49,3
2018/12/6,49,5
2018/12/7,49,6
2018/12/10,50,2
2018/12/11,50,3
2018/12/12,50,4
2018/12/13,50,5
2018/12/14,50,6
2018/12/17,51,2
2018/12/18,51,3
2018/12/19,51,4
2018/12/20,51,5
2018/12/21,51,6
2018/12/24,52,2
2018/12/26,52,4
2018/12/27,52,5
2018/12/28,52,6
2018/12/31,53,2
2019/1/2,1,4
2019/1/3,1,5
2019/1/4,1,6
2019/1/7,2,2
2019/1/8,2,3
2019/1/9,2,4
2019/1/10,2,5
2019/1/11,2,6
2019/1/14,3,2
2019/1/15,3,3
2019/1/16,3,4
2019/1/17,3,5
2019/1/18,3,6
2019/1/22,4,3
2019/1/23,4,4
2019/1/24,4,5
2019/1/25,4,6
2019/1/28,5,2
2019/1/29,5,3
2019/1/30,5,4
2019/1/31,5,5
2019/2/1,5,6
2019/2/4,6,2
2019/2/5,6,3
2019/2/6,6,4
2019/2/7,6,5
2019/2/8,6,6
2019/2/11,7,2
2019/2/12,7,3
2019/2/13,7,4
2019/2/14,7,5
2019/2/15,7,6
2019/2/19,8,3
2019/2/20,8,4
2019/2/21,8,5
2019/2/22,8,6
2019/2/25,9,2
2019/2/26,9,3
2019/2/27,9,4
2019/2/28,9,5
2019/3/1,9,6
2019/3/4,10,2
2019/3/5,10,3
2019/3/6,10,4
2019/3/7,10,5
2019/3/8,10,6
2019/3/11,11,2
2019/3/12,11,3
2019/3/13,11,4
2019/3/14,11,5
2019/3/15,11,6
2019/3/18,12,2
2019/3/19,12,3
2019/3/20,12,4
2019/3/21,12,5
2019/3/22,12,6
2019/3/25,13,2
2019/3/26,13,3
2019/3/27,13,4
2019/3/28,13,5
2019/3/29,13,6
2019/4/1,14,2
2019/4/2,14,3
2019/4/3,14,4
2019/4/4,14,5
